Rk,Tm,Lg,G,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,?.500,<.500,last10,last20,last30
1,BOS,AL,58,39,19,0.672,L 2,5.3,3.8,1.4,-0.1,1.3,37-21,2,1-Apr,20-8,19-11,3-Feb,5-Nov,33-13,6-Jun,19-14,20-5,4-Jun,13-7,18-12
2,NYY,AL,54,36,17,0.679,W 3,5.6,4.2,1.4,0.1,1.5,33-20,3,1-Jan,22-9,14-8,2-Mar,3-Oct,22-13,14-4,20-7,16-10,4-Jun,7-Dec,21-8
3,HOU,AL,59,37,22,0.627,W 2,5,2.8,2.2,0,2.2,44-15,-7,3-May,18-11,19-11,4-Jan,11-Apr,25-14,8-Dec,20-15,17-7,4-Jun,13-7,18-12
4,MIL,NL,58,36,22,0.621,L 1,4.3,3.8,0.5,-0.1,0.4,32-26,4,3-May,18-11,18-11,1-Apr,15-5,29-15,7-Jul,16-16,20-6,3-Jul,14-6,20-10
5,SEA,AL,57,35,22,0.614,W 2,4.4,4.1,0.2,-0.2,0,30-27,5,1-Jan,18-12,17-10,Jun-00,17-9,24-14,8-Nov,14-10,21-12,3-Jul,14-6,19-11
6,ATL,NL,57,34,23,0.597,W 2,5,3.9,1.1,0.1,1.2,35-22,-1,2-Mar,15-11,19-12,5-Jan,4-Oct,23-16,7-Nov,20-13,14-10,5-May,8-Dec,18-12
7,CHC,NL,54,31,23,0.574,W 2,5.3,3.7,1.6,-0.2,1.4,35-19,-4,4-Mar,15-11,16-12,4-Jan,10-May,22-19,4-Sep,17-17,14-6,4-Jun,8-Dec,17-13
8,WSN,NL,57,32,24,0.571,L 2,4.3,3.5,0.8,0,0.8,33-23,-1,Mar-00,14-Dec,20-10,3-Jan,10-Jul,25-12,12-Jul,15-11,17-13,3-Jul,7-Dec,21-8
9,PHI,NL,55,31,24,0.564,L 1,4.3,3.7,0.6,0.1,0.7,31-24,0,2-May,19-9,15-Dec,1-Apr,5-Sep,21-19,5-Oct,16-13,15-11,6-Apr,9-Nov,15-15
10,STL,NL,55,30,25,0.545,L 1,4.3,3.9,0.4,-0.1,0.3,30-25,0,5-Apr,16-12,14-13,5-Apr,8-Aug,22-20,5-Aug,14-15,16-10,6-Apr,11-Sep,15-15
11,CLE,AL,56,30,26,0.536,L 1,5.1,4.6,0.5,-0.1,0.4,31-25,-1,2-Apr,18-11,15-Dec,4-Jan,10-Sep,19-18,8-Nov,16-Oct,20-10,3-Jul,8-Dec,16-14
12,LAA,AL,58,31,27,0.534,W 1,4.6,4.1,0.5,0.1,0.6,32-26,-1,3-Feb,13-17,18-10,4-Jan,6-Sep,26-19,8-May,15-19,16-8,5-May,12-Aug,15-15
13,COL,NL,57,30,27,0.526,L 2,4.3,4.6,-0.4,0,-0.4,26-31,4,1-Jan,14-Nov,19-13,1-Mar,5-Oct,19-15,12-Nov,13-Dec,18-14,5-May,11-Sep,15-15
14,PIT,NL,57,30,27,0.526,W 1,4.7,4.5,0.3,-0.2,0,30-27,0,2-Oct,17-13,13-14,1-Mar,5-Nov,24-21,6-Jun,17-Nov,19-10,6-Apr,11-Sep,14-16
15,ARI,NL,56,29,27,0.518,W 1,3.9,3.6,0.3,0.2,0.5,30-26,-1,3-Mar,17-13,14-Dec,2-Mar,9-Oct,16-20,13-7,16-Dec,17-11,6-Apr,15-May,20-Oct
16,OAK,AL,58,30,28,0.517,W 2,4.5,4.3,0.2,0.2,0.4,30-28,0,2-Mar,15-15,15-13,3-Mar,6-Oct,22-16,12-Aug,14-24,16-4,5-May,9-Nov,16-14
17,TBR,AL,56,28,28,0.5,L 2,4.2,4.2,0,-0.1,-0.1,28-28,0,0-5,13-Nov,17-15,3-Feb,13-Sep,18-19,9-Oct,19-Oct,18-9,4-Jun,13-7,16-14
18,NYM,NL,55,27,28,0.491,L 2,4.2,4.6,-0.4,0.2,-0.2,25-30,2,1-Jan,15-Dec,15-13,3-Mar,11-Jul,20-20,8-Jul,19-22,6-Aug,7-Mar,11-Sep,19-Nov
19,DET,AL,57,27,30,0.474,W 3,4.3,4.5,-0.2,-0.6,-0.9,27-30,0,5-Jan,18-12,18-Sep,3-Mar,10-Dec,18-23,7-Sep,17-Nov,16-13,3-Jul,9-Nov,16-14
20,SFG,NL,57,27,30,0.474,W 2,4.1,4.9,-0.8,0.3,-0.5,24-33,3,4-Mar,15-10,20-Dec,3-Feb,8-Aug,14-21,13-9,16-21,9-Nov,6-Apr,12-Aug,14-16
21,LAD,NL,57,27,30,0.474,W 1,4.4,3.9,0.5,-0.2,0.3,31-26,-4,1-Jan,14-17,13-13,3-Feb,9-Jun,14-23,13-7,15-13,17-Dec,3-Jul,9-Nov,15-15
22,TOR,AL,57,25,32,0.439,L 4,4.5,5,-0.5,0.1,-0.4,26-31,-1,2-Mar,17-Dec,13-15,May-00,7-May,17-17,15-Aug,24-Dec,13-8,7-Mar,15-May,20-Oct
23,MIN,AL,53,23,30,0.434,W 1,4.2,4.6,-0.4,-0.1,-0.5,25-28,-2,6-Jun,13-Dec,17-Nov,5-Feb,12-Mar,17-22,8-Jun,21-Dec,9-Nov,7-Mar,12-Aug,14-16
24,SDP,NL,59,25,34,0.424,L 1,3.8,4.6,-0.8,0,-0.8,24-35,1,2-Jan,14-20,14-Nov,3-Jan,6-Jul,16-24,10-Sep,14-21,13-Nov,5-May,9-Nov,15-15
25,TEX,AL,60,24,36,0.4,L 2,4.2,5.3,-1.2,0.3,-0.8,23-37,1,0-0,19-Nov,13-17,1-May,5-Jun,17-24,12-Jul,16-27,9-Aug,5-May,12-Aug,13-17
26,CIN,NL,58,21,37,0.362,W 2,4.1,5.2,-1.1,0.2,-0.8,23-35,-2,1-Feb,19-Sep,18-Dec,2-Mar,11-May,14-28,9-Jul,31-Oct,6-Nov,5-May,10-Oct,14-16
27,KCR,AL,57,20,37,0.351,L 1,4,5.7,-1.7,-0.3,-2,20-37,0,3-Feb,20-Sep,17-Nov,4-Mar,10-Jul,27-Oct,10-Oct,20-Jul,13-17,4-Jun,12-Aug,13-17
28,MIA,NL,57,20,37,0.351,L 4,3.4,5.3,-1.9,0.5,-1.4,18-39,2,3-Jan,18-Oct,19-Oct,2-Feb,8-May,15-27,10-May,27-Nov,10-Sep,7-Mar,13-Jul,19-Nov
29,CHW,AL,54,17,37,0.315,W 1,4,5.5,-1.5,-0.3,-1.8,20-34,-3,8-Feb,18-Sep,19-Aug,2-Jan,14-May,13-28,9-Apr,21-Apr,13-16,6-Apr,12-Aug,21-Sep
30,BAL,AL,57,17,40,0.298,L 6,3.7,5.3,-1.6,0.2,-1.4,19-38,-2,0-4,17-Oct,23-Jul,1-Mar,8-Mar,28-Oct,12-Jul,29-Sep,11-Aug,8-Feb,13-Jul,20-Oct
,Avg,,,28,28,0.5,,4.4,4.4,,,,28-28,,2-Feb,14-13,13-14,2-Feb,8-Aug,19-19,8-Aug,13-18,14-10,4-May,9-Oct,14-14
