year,team,goals,opponent,type,home_team
1933,ALS,4,NLS,home_team,ALS
1934,NLS,7,ALS,home_team,NLS
1935,ALS,4,NLS,home_team,ALS
1936,NLS,4,ALS,home_team,NLS
1937,ALS,8,NLS,home_team,ALS
1938,NLS,4,ALS,home_team,NLS
1939,ALS,3,NLS,home_team,ALS
1940,NLS,4,ALS,home_team,NLS
1941,ALS,7,NLS,home_team,ALS
1942,NLS,1,ALS,home_team,NLS
1943,ALS,5,NLS,home_team,ALS
1944,NLS,7,ALS,home_team,NLS
1946,ALS,12,NLS,home_team,ALS
1947,NLS,1,ALS,home_team,NLS
1948,ALS,5,NLS,home_team,ALS
1949,NLS,7,ALS,home_team,NLS
1950,ALS,3,NLS,home_team,ALS
1951,ALS,3,NLS,home_team,ALS
1952,NLS,3,ALS,home_team,NLS
1953,NLS,5,ALS,home_team,NLS
1954,ALS,11,NLS,home_team,ALS
1955,NLS,6,ALS,home_team,NLS
1956,ALS,3,NLS,home_team,ALS
1957,NLS,5,ALS,home_team,NLS
1958,ALS,4,NLS,home_team,ALS
1959,NLS,5,ALS,home_team,NLS
1959,NLS,3,ALS,home_team,NLS
1960,ALS,3,NLS,home_team,ALS
1960,ALS,0,NLS,home_team,ALS
1961,NLS,5,ALS,home_team,NLS
1961,ALS,1,NLS,home_team,ALS
1962,ALS,1,NLS,home_team,ALS
1962,NLS,4,ALS,home_team,NLS
1963,ALS,3,NLS,home_team,ALS
1964,NLS,7,ALS,home_team,NLS
1965,ALS,5,NLS,home_team,ALS
1966,NLS,2,ALS,home_team,NLS
1967,ALS,1,NLS,home_team,ALS
1968,NLS,1,ALS,home_team,NLS
1969,ALS,3,NLS,home_team,ALS
1970,NLS,5,ALS,home_team,NLS
1971,ALS,6,NLS,home_team,ALS
1972,NLS,4,ALS,home_team,NLS
1973,ALS,1,NLS,home_team,ALS
1974,NLS,7,ALS,home_team,NLS
1975,ALS,3,NLS,home_team,ALS
1976,NLS,7,ALS,home_team,NLS
1977,ALS,5,NLS,home_team,ALS
1978,NLS,7,ALS,home_team,NLS
1979,ALS,6,NLS,home_team,ALS
1980,NLS,4,ALS,home_team,NLS
1981,ALS,4,NLS,home_team,ALS
1982,NLS,4,ALS,home_team,NLS
1983,ALS,13,NLS,home_team,ALS
1984,NLS,3,ALS,home_team,NLS
1985,ALS,1,NLS,home_team,ALS
1986,NLS,2,ALS,home_team,NLS
1987,ALS,0,NLS,home_team,ALS
1988,NLS,1,ALS,home_team,NLS
1989,ALS,5,NLS,home_team,ALS
1990,NLS,0,ALS,home_team,NLS
1991,ALS,4,NLS,home_team,ALS
1992,NLS,6,ALS,home_team,NLS
1993,ALS,9,NLS,home_team,ALS
1994,NLS,8,ALS,home_team,NLS
1995,ALS,2,NLS,home_team,ALS
1996,NLS,6,ALS,home_team,NLS
1997,ALS,3,NLS,home_team,ALS
1998,NLS,8,ALS,home_team,NLS
1999,ALS,4,NLS,home_team,ALS
2000,NLS,3,ALS,home_team,NLS
2001,ALS,4,NLS,home_team,ALS
2002,NLS,7,ALS,home_team,NLS
2003,ALS,7,NLS,home_team,ALS
2004,NLS,4,ALS,home_team,NLS
2005,ALS,7,NLS,home_team,ALS
2006,NLS,2,ALS,home_team,NLS
2007,NLS,4,ALS,home_team,NLS
2008,ALS,4,NLS,home_team,ALS
2009,NLS,3,ALS,home_team,NLS
2010,ALS,1,NLS,home_team,ALS
2011,NLS,5,ALS,home_team,NLS
2012,ALS,0,NLS,home_team,ALS
2013,NLS,0,ALS,home_team,NLS
2014,ALS,5,NLS,home_team,ALS
2015,NLS,3,ALS,home_team,NLS
2016,ALS,4,NLS,home_team,ALS
2017,NLS,1,ALS,home_team,NLS
1981,HOU,3,LAN,home_team,HOU
1981,KCA,0,OAK,home_team,KCA
1981,MON,3,PHI,home_team,MON
1981,HOU,1,LAN,home_team,HOU
1981,MIL,3,NYA,home_team,MIL
1981,KCA,1,OAK,home_team,KCA
1981,MON,3,PHI,home_team,MON
1981,MIL,0,NYA,home_team,MIL
1981,PHI,6,MON,home_team,PHI
1981,LAN,6,HOU,home_team,LAN
1981,NYA,3,MIL,home_team,NYA
1981,OAK,4,KCA,home_team,OAK
1981,PHI,6,MON,home_team,PHI
1981,LAN,2,HOU,home_team,LAN
1981,NYA,1,MIL,home_team,NYA
1981,PHI,0,MON,home_team,PHI
1981,LAN,4,HOU,home_team,LAN
1981,NYA,7,MIL,home_team,NYA
1995,COL,4,ATL,home_team,COL
1995,LAN,2,CIN,home_team,LAN
1995,CLE,5,BOS,home_team,CLE
1995,NYA,9,SEA,home_team,NYA
1995,COL,4,ATL,home_team,COL
1995,LAN,4,CIN,home_team,LAN
1995,CLE,4,BOS,home_team,CLE
1995,NYA,7,SEA,home_team,NYA
1995,ATL,5,COL,home_team,ATL
1995,CIN,10,LAN,home_team,CIN
1995,BOS,2,CLE,home_team,BOS
1995,SEA,7,NYA,home_team,SEA
1995,ATL,10,COL,home_team,ATL
1995,SEA,11,NYA,home_team,SEA
1995,SEA,6,NYA,home_team,SEA
1996,SLN,3,SDN,home_team,SLN
1996,NYA,2,TEX,home_team,NYA
1996,BAL,10,CLE,home_team,BAL
1996,LAN,1,ATL,home_team,LAN
1996,NYA,5,TEX,home_team,NYA
1996,BAL,7,CLE,home_team,BAL
1996,SLN,5,SDN,home_team,SLN
1996,LAN,2,ATL,home_team,LAN
1996,TEX,2,NYA,home_team,TEX
1996,CLE,9,BAL,home_team,CLE
1996,SDN,5,SLN,home_team,SDN
1996,ATL,5,LAN,home_team,ATL
1996,TEX,4,NYA,home_team,TEX
1996,CLE,3,BAL,home_team,CLE
1997,FLO,2,SFN,home_team,FLO
1997,ATL,2,HOU,home_team,ATL
1997,NYA,8,CLE,home_team,NYA
1997,FLO,7,SFN,home_team,FLO
1997,ATL,13,HOU,home_team,ATL
1997,SEA,3,BAL,home_team,SEA
1997,NYA,5,CLE,home_team,NYA
1997,SEA,3,BAL,home_team,SEA
1997,SFN,2,FLO,home_team,SFN
1997,HOU,1,ATL,home_team,HOU
1997,CLE,1,NYA,home_team,CLE
1997,BAL,2,SEA,home_team,BAL
1997,CLE,3,NYA,home_team,CLE
1997,BAL,3,SEA,home_team,BAL
1997,CLE,4,NYA,home_team,CLE
1998,CLE,3,BOS,home_team,CLE
1998,NYA,2,TEX,home_team,NYA
1998,HOU,1,SDN,home_team,HOU
1998,CLE,9,BOS,home_team,CLE
1998,NYA,3,TEX,home_team,NYA
1998,ATL,7,CHN,home_team,ATL
1998,HOU,5,SDN,home_team,HOU
1998,ATL,2,CHN,home_team,ATL
1998,BOS,3,CLE,home_team,BOS
1998,TEX,0,NYA,home_team,TEX
1998,BOS,1,CLE,home_team,BOS
1998,SDN,2,HOU,home_team,SDN
1998,CHN,2,ATL,home_team,CHN
1998,SDN,6,HOU,home_team,SDN
1999,NYA,8,TEX,home_team,NYA
1999,ARI,4,NYN,home_team,ARI
1999,ATL,1,HOU,home_team,ATL
1999,CLE,3,BOS,home_team,CLE
1999,ARI,7,NYN,home_team,ARI
1999,ATL,5,HOU,home_team,ATL
1999,CLE,11,BOS,home_team,CLE
1999,NYA,3,TEX,home_team,NYA
1999,NYN,9,ARI,home_team,NYN
1999,HOU,3,ATL,home_team,HOU
1999,BOS,9,CLE,home_team,BOS
1999,TEX,0,NYA,home_team,TEX
1999,NYN,4,ARI,home_team,NYN
1999,HOU,5,ATL,home_team,HOU
1999,BOS,23,CLE,home_team,BOS
1999,CLE,8,BOS,home_team,CLE
2000,SLN,7,ATL,home_team,SLN
2000,OAK,5,NYA,home_team,OAK
2000,CHA,4,SEA,home_team,CHA
2000,SFN,5,NYN,home_team,SFN
2000,OAK,0,NYA,home_team,OAK
2000,CHA,2,SEA,home_team,CHA
2000,SLN,10,ATL,home_team,SLN
2000,SFN,4,NYN,home_team,SFN
2000,NYA,4,OAK,home_team,NYA
2000,SEA,2,CHA,home_team,SEA
2000,ATL,1,SLN,home_team,ATL
2000,NYN,3,SFN,home_team,NYN
2000,NYA,1,OAK,home_team,NYA
2000,NYN,4,SFN,home_team,NYN
2000,OAK,5,NYA,home_team,OAK
2001,SEA,0,CLE,home_team,SEA
2001,HOU,4,ATL,home_team,HOU
2001,ARI,1,SLN,home_team,ARI
2001,NYA,3,OAK,home_team,NYA
2001,HOU,0,ATL,home_team,HOU
2001,ARI,1,SLN,home_team,ARI
2001,SEA,5,CLE,home_team,SEA
2001,NYA,0,OAK,home_team,NYA
2001,ATL,6,HOU,home_team,ATL
2001,SLN,3,ARI,home_team,SLN
2001,CLE,17,SEA,home_team,CLE
2001,OAK,0,NYA,home_team,OAK
2001,SLN,4,ARI,home_team,SLN
2001,CLE,2,SEA,home_team,CLE
2001,OAK,2,NYA,home_team,OAK
2001,ARI,2,SLN,home_team,ARI
2001,SEA,3,CLE,home_team,SEA
2001,NYA,5,OAK,home_team,NYA
2002,OAK,5,MIN,home_team,OAK
2002,NYA,8,ANA,home_team,NYA
2002,ARI,2,SLN,home_team,ARI
2002,OAK,9,MIN,home_team,OAK
2002,NYA,6,ANA,home_team,NYA
2002,ATL,5,SFN,home_team,ATL
2002,ARI,1,SLN,home_team,ARI
2002,ATL,7,SFN,home_team,ATL
2002,MIN,3,OAK,home_team,MIN
2002,ANA,9,NYA,home_team,ANA
2002,MIN,11,OAK,home_team,MIN
2002,ANA,9,NYA,home_team,ANA
2002,SLN,6,ARI,home_team,SLN
2002,SFN,2,ATL,home_team,SFN
2002,OAK,4,MIN,home_team,OAK
2002,SFN,8,ATL,home_team,SFN
2002,ATL,1,SFN,home_team,ATL
2003,NYA,1,MIN,home_team,NYA
2003,ATL,2,CHN,home_team,ATL
2003,SFN,2,FLO,home_team,SFN
2003,OAK,5,BOS,home_team,OAK
2003,ATL,5,CHN,home_team,ATL
2003,SFN,5,FLO,home_team,SFN
2003,NYA,4,MIN,home_team,NYA
2003,OAK,5,BOS,home_team,OAK
2003,CHN,3,ATL,home_team,CHN
2003,FLO,4,SFN,home_team,FLO
2003,MIN,1,NYA,home_team,MIN
2003,BOS,3,OAK,home_team,BOS
2003,CHN,4,ATL,home_team,CHN
2003,FLO,7,SFN,home_team,FLO
2003,MIN,1,NYA,home_team,MIN
2003,BOS,5,OAK,home_team,BOS
2003,ATL,1,CHN,home_team,ATL
2003,OAK,3,BOS,home_team,OAK
2004,SLN,8,LAN,home_team,SLN
2004,ANA,3,BOS,home_team,ANA
2004,NYA,0,MIN,home_team,NYA
2004,ATL,3,HOU,home_team,ATL
2004,ANA,3,BOS,home_team,ANA
2004,NYA,7,MIN,home_team,NYA
2004,SLN,8,LAN,home_team,SLN
2004,ATL,4,HOU,home_team,ATL
2004,BOS,8,ANA,home_team,BOS
2004,MIN,4,NYA,home_team,MIN
2004,LAN,4,SLN,home_team,LAN
2004,HOU,8,ATL,home_team,HOU
2004,MIN,5,NYA,home_team,MIN
2004,LAN,2,SLN,home_team,LAN
2004,HOU,5,ATL,home_team,HOU
2004,ATL,3,HOU,home_team,ATL
2005,CHA,14,BOS,home_team,CHA
2005,ANA,2,NYA,home_team,ANA
2005,SLN,8,SDN,home_team,SLN
2005,CHA,5,BOS,home_team,CHA
2005,ANA,5,NYA,home_team,ANA
2005,ATL,5,HOU,home_team,ATL
2005,SLN,6,SDN,home_team,SLN
2005,ATL,7,HOU,home_team,ATL
2005,BOS,3,CHA,home_team,BOS
2005,NYA,7,ANA,home_team,NYA
2005,SDN,4,SLN,home_team,SDN
2005,HOU,7,ATL,home_team,HOU
2005,NYA,3,ANA,home_team,NYA
2005,HOU,7,ATL,home_team,HOU
2005,ANA,5,NYA,home_team,ANA
2006,MIN,2,OAK,home_team,MIN
2006,NYA,8,DET,home_team,NYA
2006,SDN,1,SLN,home_team,SDN
2006,MIN,2,OAK,home_team,MIN
2006,NYN,6,LAN,home_team,NYN
2006,NYA,3,DET,home_team,NYA
2006,SDN,0,SLN,home_team,SDN
2006,NYN,4,LAN,home_team,NYN
2006,OAK,8,MIN,home_team,OAK
2006,DET,6,NYA,home_team,DET
2006,DET,8,NYA,home_team,DET
2006,SLN,1,SDN,home_team,SLN
2006,LAN,5,NYN,home_team,LAN
2006,SLN,6,SDN,home_team,SLN
2007,ARI,3,CHN,home_team,ARI
2007,PHI,2,COL,home_team,PHI
2007,BOS,4,ANA,home_team,BOS
2007,ARI,8,CHN,home_team,ARI
2007,PHI,5,COL,home_team,PHI
2007,CLE,12,NYA,home_team,CLE
2007,BOS,6,ANA,home_team,BOS
2007,CLE,2,NYA,home_team,CLE
2007,CHN,1,ARI,home_team,CHN
2007,COL,2,PHI,home_team,COL
2007,ANA,1,BOS,home_team,ANA
2007,NYA,8,CLE,home_team,NYA
2007,NYA,4,CLE,home_team,NYA
2008,CHN,2,LAN,home_team,CHN
2008,PHI,3,MIL,home_team,PHI
2008,ANA,1,BOS,home_team,ANA
2008,CHN,3,LAN,home_team,CHN
2008,PHI,5,MIL,home_team,PHI
2008,TBA,6,CHA,home_team,TBA
2008,ANA,5,BOS,home_team,ANA
2008,TBA,6,CHA,home_team,TBA
2008,LAN,3,CHN,home_team,LAN
2008,MIL,4,PHI,home_team,MIL
2008,MIL,2,PHI,home_team,MIL
2008,BOS,4,ANA,home_team,BOS
2008,CHA,5,TBA,home_team,CHA
2008,BOS,3,ANA,home_team,BOS
2008,CHA,2,TBA,home_team,CHA
2009,PHI,5,COL,home_team,PHI
2009,LAN,5,SLN,home_team,LAN
2009,NYA,7,MIN,home_team,NYA
2009,PHI,4,COL,home_team,PHI
2009,LAN,3,SLN,home_team,LAN
2009,ANA,5,BOS,home_team,ANA
2009,NYA,4,MIN,home_team,NYA
2009,ANA,4,BOS,home_team,ANA
2009,SLN,1,LAN,home_team,SLN
2009,COL,5,PHI,home_team,COL
2009,MIN,1,NYA,home_team,MIN
2009,BOS,6,ANA,home_team,BOS
2009,COL,4,PHI,home_team,COL
2010,MIN,4,NYA,home_team,MIN
2010,TBA,1,TEX,home_team,TBA
2010,PHI,4,CIN,home_team,PHI
2010,MIN,2,NYA,home_team,MIN
2010,TBA,0,TEX,home_team,TBA
2010,SFN,1,ATL,home_team,SFN
2010,PHI,7,CIN,home_team,PHI
2010,SFN,4,ATL,home_team,SFN
2010,NYA,6,MIN,home_team,NYA
2010,TEX,3,TBA,home_team,TEX
2010,TEX,2,TBA,home_team,TEX
2010,CIN,0,PHI,home_team,CIN
2010,ATL,2,SFN,home_team,ATL
2010,ATL,2,SFN,home_team,ATL
2010,TBA,1,TEX,home_team,TBA
2011,TEX,0,TBA,home_team,TEX
2011,NYA,9,DET,home_team,NYA
2011,MIL,4,ARI,home_team,MIL
2011,PHI,11,SLN,home_team,PHI
2011,TEX,8,TBA,home_team,TEX
2011,MIL,9,ARI,home_team,MIL
2011,PHI,4,SLN,home_team,PHI
2011,NYA,3,DET,home_team,NYA
2011,TBA,3,TEX,home_team,TBA
2011,DET,5,NYA,home_team,DET
2011,ARI,8,MIL,home_team,ARI
2011,SLN,2,PHI,home_team,SLN
2011,TBA,3,TEX,home_team,TBA
2011,DET,1,NYA,home_team,DET
2011,ARI,10,MIL,home_team,ARI
2011,SLN,5,PHI,home_team,SLN
2011,NYA,2,DET,home_team,NYA
2011,MIL,3,ARI,home_team,MIL
2011,PHI,0,SLN,home_team,PHI
2012,DET,3,OAK,home_team,DET
2012,SFN,2,CIN,home_team,SFN
2012,DET,5,OAK,home_team,DET
2012,BAL,2,NYA,home_team,BAL
2012,SFN,0,CIN,home_team,SFN
2012,SLN,2,WAS,home_team,SLN
2012,BAL,3,NYA,home_team,BAL
