year,key_team,win,loss,goals_for,goals_against
1903,BOS,5,3,39,24
1903,PIT,3,5,24,39
1905,NY1,4,1,15,3
1905,PHA,1,4,3,15
1906,CHA,4,2,22,18
1906,CHN,2,4,18,22
1907,CHN,4,0,19,6
1907,DET,0,4,6,19
1908,CHN,4,1,24,15
1908,DET,1,4,15,24
1909,DET,3,4,28,34
1909,PIT,4,3,34,28
1910,CHN,1,4,15,35
1910,PHA,4,1,35,15
1911,NY1,2,4,13,27
1911,PHA,4,2,27,13
1912,BOS,4,3,25,31
1912,NY1,3,4,31,25
1913,NY1,1,4,15,23
1913,PHA,4,1,23,15
1914,BSN,4,0,16,6
1914,PHA,0,4,6,16
1915,BOS,4,1,12,10
1915,PHI,1,4,10,12
1916,BOS,4,1,21,13
1916,BRO,1,4,13,21
1917,CHA,4,2,21,17
1917,NY1,2,4,17,21
1918,BOS,4,2,9,10
1918,CHN,2,4,10,9
1919,CHA,3,5,20,35
1919,CIN,5,3,35,20
1920,BRO,2,5,8,21
1920,CLE,5,2,21,8
1921,NY1,5,3,29,22
1921,NYA,3,5,22,29
1922,NY1,4,0,18,11
1922,NYA,0,4,11,18
1923,NY1,2,4,17,30
1923,NYA,4,2,30,17
1924,NY1,3,4,27,26
1924,WS1,4,3,26,27
1925,PIT,4,3,25,26
1925,WS1,3,4,26,25
1926,NYA,3,4,21,31
1926,SLN,4,3,31,21
1927,NYA,4,0,23,10
1927,PIT,0,4,10,23
1928,NYA,4,0,27,10
1928,SLN,0,4,10,27
1929,CHN,1,4,17,26
1929,PHA,4,1,26,17
1930,PHA,4,2,21,12
1930,SLN,2,4,12,21
1931,PHA,3,4,22,19
1931,SLN,4,3,19,22
1932,CHN,0,4,19,37
1932,NYA,4,0,37,19
1933,ALS,1,0,4,2
1933,NLS,0,1,2,4
1933,NY1,4,1,16,11
1933,WS1,1,4,11,16
1934,ALS,1,0,9,7
1934,DET,3,4,23,34
1934,NLS,0,1,7,9
1934,SLN,4,3,34,23
