year,key_team,win,loss,runs_for,runs_against
1871,BS1,20,10,401,303
1871,CH1,19,9,302,241
1871,CL1,10,19,249,341
1871,FW1,7,12,137,243
1871,NY2,16,17,302,313
1871,PH1,19,9,376,266
1871,RC1,8,17,231,287
1871,TRO,12,16,351,362
1871,WS3,14,16,310,303
1872,BL1,36,19,617,434
1872,BR1,3,25,152,413
1872,BR2,9,28,237,473
1872,BS1,39,8,521,236
1872,CL1,6,16,174,254
1872,MID,5,19,220,348
1872,NY2,34,20,523,362
1872,PH1,29,15,539,349
1872,TRO,15,10,273,191
1872,WS3,2,7,54,140
1872,WS4,0,11,80,190
1873,BL1,34,22,641,451
1873,BL4,0,6,26,152
1873,BR2,17,37,362,549
1873,BS1,43,16,739,460
1873,ELI,2,21,98,299
1873,NY2,29,24,424,385
1873,PH1,28,23,474,399
1873,PH2,36,17,526,396
1873,WS5,8,31,283,482
1874,BL1,9,38,227,505
1874,BR2,22,33,301,450
1874,BS1,52,18,735,415
1874,CH2,28,31,418,480
1874,HR1,16,37,371,471
1874,NY2,42,23,501,377
1874,PH1,33,22,441,344
1874,PH2,29,29,476,428
1875,BR2,2,42,132,438
1875,BS1,71,8,831,343
1875,CH2,30,37,379,416
1875,HR1,54,28,557,343
1875,KEO,1,12,45,88
1875,NH1,7,40,170,397
1875,NY2,30,38,328,425
1875,PH1,53,20,699,402
1875,PH2,37,31,470,376
1875,PH3,2,12,70,138
1875,SL1,4,15,60,161
1875,SL2,39,29,386,369
1875,WS6,5,23,107,338
1876,BSN,39,31,471,450
1876,CHN,52,14,624,257
1876,CN1,9,56,238,579
1876,HAR,47,21,429,261
1876,LS1,30,36,280,344
1876,NY3,21,35,260,412
1876,PHN,14,45,378,534
1876,SL3,45,19,386,229
1877,BSN,42,18,419,263
1877,CHN,26,33,366,375
1877,CN1,15,42,291,485
1877,HAR,31,27,341,311
1877,LS1,35,25,339,288
1877,SL3,28,32,284,318
1878,BSN,41,19,298,241
1878,CHN,30,30,371,331
1878,CN1,37,23,333,281
1878,IN1,24,36,293,328
1878,ML2,15,45,256,386
1878,PRO,33,27,353,337
1879,BFN,46,32,389,365
1879,BSN,54,30,562,348
1879,CHN,46,33,437,411
1879,CL2,27,55,322,461
1879,CN1,43,37,485,464
1879,PRO,59,25,612,355
1879,SR1,22,48,276,457
1879,TRN,19,56,321,543
1880,BFN,24,58,332,502
1880,BSN,40,44,416,456
1880,CHN,67,17,538,317
1880,CL2,47,37,387,337
1880,CN4,21,59,296,472
1880,PRO,52,32,419,299
1880,TRN,41,42,392,439
1880,WOR,40,43,412,370
1881,BFN,45,38,440,448
1881,BSN,38,45,349,410
1881,CHN,56,28,550,379
