"","year","team","total_offense","total_defense","overall_score"
"1","1961","BAL",43.6,80.1,71.7
"2","1961","BOS",42.3,43.3,40.3
"3","1961","CHA",56.6,52,57.3
"4","1961","CHN",44.9,32.7,33.3
"5","1961","CIN",58.7,57.6,63.3
"6","1961","CLE",53.3,44.8,49.1
"7","1961","DET",71.6,60,74.1
"8","1961","KC1",35.9,28.8,24
"9","1961","LAA",58,36.3,45.1
"10","1961","LAN",74.2,38.3,57.9
"11","1961","MIN",42.1,42.2,39.3
"12","1961","MLN",60.2,51.6,59.4
"13","1961","NYA",72.7,69.7,82.8
"14","1961","PHI",27.1,27.9,17.2
"15","1961","PIT",54.5,47.5,52.1
"16","1961","SFN",76.5,48.3,67.7
"17","1961","SLN",57.2,52.4,58
"18","1961","WS2",25.9,39.6,26.1
"19","1962","BAL",39.2,58.6,51
"20","1962","BOS",42.5,46.5,43.1
"21","1962","CHA",45.3,64.3,59.8
"22","1962","CHN",25,34.1,20.9
"23","1962","CIN",70.4,55,69.2
"24","1962","CLE",41.9,46.5,42.7
"25","1962","DET",57.7,54.1,59.8
"26","1962","HOU",24.9,40.9,26.5
"27","1962","KC1",51.8,31.8,37.2
"28","1962","LAA",52.1,50.8,53.2
"29","1962","LAN",84.8,47.8,72.9
"30","1962","MIN",61.1,54.2,62.2
"31","1962","MLN",57.7,54.3,59.9
"32","1962","NYA",74.7,53,70.4
"33","1962","NYN",39.9,4.2,6.2
"34","1962","PHI",48.8,37,39.5
"35","1962","PIT",48.7,63,61
"36","1962","SFN",89.3,48.4,76.5
"37","1962","SLN",64.4,58.3,67.8
"38","1962","WS2",20.8,51.4,32.5
"39","1963","BAL",42.9,65.9,59.5
"40","1963","BOS",38.3,52.8,45.5
"41","1963","CHA",44.1,85.4,76.5
"42","1963","CHN",17.8,74.9,49.9
"43","1963","CIN",47.8,67.4,64
"44","1963","CLE",36.3,50.7,42.3
"45","1963","DET",51,47.8,50
"46","1963","HOU",0,49,16.3
"47","1963","KC1",25.6,52.7,36.7
"48","1963","LAA",29.7,55.9,42.2
"49","1963","LAN",53.2,71.3,71
"50","1963","MIN",61.3,70.3,75.7
"51","1963","MLN",58,59.6,64.5
"52","1963","NYA",58,78,79.8
"53","1963","NYN",17.3,26.6,9.4
"54","1963","PHI",44.5,66.8,61.4
"55","1963","PIT",26.6,63.5,46.4
"56","1963","SFN",73.4,48.1,65.4
"57","1963","SLN",73.8,56.3,72.5
"58","1963","WS2",23.9,27.5,14.7
"59","1964","BAL",49.7,77.4,73.7
"60","1964","BOS",43.1,35.9,34.8
"61","1964","CHA",33,96.1,77.8
"62","1964","CHN",37.2,46.1,39.1
"63","1964","CIN",45.5,77.2,70.6
"64","1964","CLE",47.6,52.7,51.7
"65","1964","DET",50.2,53.4,54
"66","1964","HOU",5.2,53.3,23.4
"67","1964","KC1",29.3,28,18.8
"68","1964","LAA",12.3,81.9,52
"69","1964","LAN",41.2,70,61.8
"70","1964","MIN",54,56.3,59.1
"71","1964","MLN",85.2,29.9,58.3
"72","1964","NYA",59.6,72.8,76.6
"73","1964","NYN",29.9,30,20.9
"74","1964","PHI",51.6,57.8,58.7
"75","1964","PIT",47.9,56.2,54.9
"76","1964","SFN",51.9,64.1,64.1
"77","1964","SLN",61.8,54,62.5
"78","1964","WS2",22.4,42,25.7
"79","1965","BAL",44.4,73.8,67.1
"80","1965","BOS",41.7,35.1,33.1
"81","1965","CAL",10.5,74.2,44.4
"82","1965","CHA",38.9,80.9,69.2
"83","1965","CHN",30.1,47.3,35.4
"84","1965","CIN",85.7,43.5,70
"85","1965","CLE",44.9,66.1,61
"86","1965","DET",47.3,67.7,64
"87","1965","HOU",27.1,36,23.9
"88","1965","KC1",22.4,40.6,24.5
"89","1965","LAN",40.9,81.8,71.4
"90","1965","MIN",64.9,69.5,77.4
"91","1965","MLN",61.7,55,63.2
"92","1965","NYA",36.8,65.1,54.7
"93","1965","NYN",7.1,36.7,10.9
"94","1965","PHI",43.8,51,47.7
"95","1965","PIT",48.1,69.9,66.3
"96","1965","SFN",56,63.6,66.5
"97","1965","SLN",60.6,50.3,58.5
"98","1965","WS2",28.7,43.1,30.9
"99","1966","ATL",71.1,53.2,68.1
"100","1966","BAL",74.6,63.6,79.1
"101","1966","BOS",39,46,40.3
"102","1966","CAL",34.9,56,45.8
"103","1966","CHA",19.8,92.1,65.6
"104","1966","CHN",34.8,30.1,24.3
"105","1966","CIN",55.8,45.6,51.4
"106","1966","CLE",22.8,73,51.8
"107","1966","DET",59.6,45.9,54.3
"108","1966","HOU",35,40,32.7
"109","1966","KC1",17.2,60.3,37.4
"110","1966","LAN",37.9,89.3,75.6
"111","1966","MIN",40.7,75.3,65.8
"112","1966","NYA",39.9,60.9,53.3
"113","1966","NYN",35.7,31.3,25.9
"114","1966","PHI",50.3,55.8,56.1
"115","1966","PIT",67.3,53.9,66.1
"116","1966","SFN",55.4,54.8,58.7
"117","1966","SLN",22.6,74.6,52.9
"118","1966","WS2",22.3,52.4,34.3
"119","1967","ATL",41,59.7,53
"120","1967","BAL",54.6,65.2,66.9
"121","1967","BOS",56.8,66.3,69.3
"122","1967","CAL",28.8,66.1,50.1
"123","1967","CHA",12.6,94.8,63
"124","1967","CHN",51.1,62.4,62.2
"125","1967","CIN",34.2,75.1,61.3
"126","1967","CLE",23.9,63.9,45
"127","1967","DET",52.4,68.4,68.1
"128","1967","HOU",47,25.7,28.9
"129","1967","KC1",12.7,56.1,30.8
"130","1967","LAN",21.9,62,42
"131","1967","MIN",44.8,71.6,65.5
"132","1967","NYA",17.3,60.7,37.8
"133","1967","NYN",13,47.9,24.2
"134","1967","PHI",35.5,66.7,55.1
"135","1967","PIT",54.4,41.4,47
"136","1967","SFN",53,69.4,69.3
"137","1967","SLN",60.8,71.9,76.6
"138","1967","WS2",22.9,56.1,37.7
"139","1968","ATL",16.2,76.9,50.5
"140","1968","BAL",40.2,86.3,74.6
"141","1968","BOS",39.1,63.8,55.2
"142","1968","CAL",16.5,57,34.1
"143","1968","CHA",0.7,82.7,44.7
"144","1968","CHN",36.4,61.3,51.3
"145","1968","CIN",67.3,43.4,57.4
"146","1968","CLE",17.3,87,59.6
"147","1968","DET",54.7,87.8,85.7
"148","1968","HOU",21.4,52.9,34.1
"149","1968","LAN",14.5,76.5,49
"150","1968","MIN",25.6,77.7,57.5
"151","1968","NYA",25.8,78,57.9
"152","1968","NYN",9.8,82.1,50.4
"153","1968","OAK",40.2,69.2,60.4
"154","1968","PHI",26.6,53.4,38.1
"155","1968","PIT",35.4,72.7,60
"156","1968","SFN",47.7,69.8,66
"157","1968","SLN",39,90.1,77
"158","1968","WS2",23.5,46.1,29.9
"159","1969","ATL",49.6,63.5,62.1
"160","1969","BAL",73.9,89.3,100
"161","1969","BOS",57.6,47.9,54.5
"162","1969","CAL",8.4,59.9,31
"163","1969","CHA",32.4,47,36.7
"164","1969","CHN",47.8,68.7,65.2
"165","1969","CIN",78.1,32.5,55.7
"166","1969","CLE",23.8,48.3,31.9
"167","1969","DET",50.7,70.8,68.9
"168","1969","HOU",53.1,42.6,47
